newlyConst,balcony,totalRent,hasKitchen,cellar,livingSpace,lift,typeOfFlat,geo_plz,noRooms,garden,regio3,date,buildingAge,schufa_yn,PersonalInfo_yn,incomeProof_yn,guarantee_yn,debtFreeProof_yn,ID_yn,utilitiesPrice
1,1,2080.0,1,1,107.89,1,apartment,10179,4.0,0,Mitte,Feb20,1.0,0,0,0,0,0,0,290.0
0,1,605.55,0,0,56.44,0,roof_storey,12683,2.0,0,Marzahn,May19,25.0,0,0,0,0,0,0,154.54999999999995
0,1,430.0,0,0,33.0,1,apartment,13469,1.0,0,Reinickendorf,May19,49.0,0,0,0,0,0,0,140.0
0,1,1332.37,1,0,99.91,1,apartment,14197,4.0,0,Wilmersdorf,Sep18,46.0,0,0,0,0,0,0,365.36999999999983
0,1,4000.0,1,1,235.0,0,roof_storey,14163,6.0,0,Zehlendorf,Oct19,5.0,0,0,0,0,0,0,500.0
0,0,809.34,1,1,59.33,0,apartment,12349,1.5,0,Neukölln,Feb20,25.0,0,0,0,0,0,0,276.34000000000003
0,1,2307.6,0,0,115.38,1,apartment,10115,4.0,0,Mitte,Sep18,7.0,0,0,0,0,0,0,346.59999999999985
0,1,2638.4,0,0,131.92,1,apartment,10115,5.0,0,Mitte,Sep18,7.0,0,0,0,0,0,0,396.40000000000015
0,1,630.0,0,0,47.63,0,apartment,12557,2.0,0,Köpenick,Oct19,26.0,0,0,0,0,0,0,200.0
0,1,869.0,0,1,59.43,0,ground_floor,13629,2.0,0,Spandau,May19,90.0,0,0,0,0,0,0,200.0
1,0,628.93,1,0,32.5,1,apartment,10315,1.0,0,Lichtenberg,Feb20,1.0,0,0,0,0,0,0,100.92999999999996
0,1,798.0,1,1,55.05,0,apartment,13409,2.0,0,Reinickendorf,May19,27.0,0,0,0,0,0,0,137.0
0,1,683.7,1,1,60.19,0,roof_storey,13587,2.0,0,Spandau,Feb20,17.0,0,0,0,0,0,0,142.70000000000005
0,0,900.0,1,0,54.17,0,apartment,13189,1.0,0,Pankow,Feb20,120.0,0,0,0,0,0,0,100.0
0,0,536.0,1,1,19.5,1,ground_floor,13347,1.0,0,Wedding,Feb20,2.0,0,0,0,0,0,0,76.0
0,1,599.94,0,1,49.96,0,apartment,12555,1.5,0,Köpenick,Sep18,114.0,0,0,0,0,0,0,85.94000000000004
0,0,1410.0,1,1,80.0,0,roof_storey,10627,2.0,0,Charlottenburg,Feb20,101.0,0,0,0,0,0,0,120.0
1,1,1485.0,1,1,93.52,1,ground_floor,12277,3.0,0,Tempelhof,Sep18,2.0,0,0,0,0,0,0,258.0
1,1,1390.0,1,1,40.0,1,apartment,10179,2.0,1,Mitte,Feb20,1.0,0,0,0,0,0,0,160.0
0,1,1202.0,0,0,57.4,1,apartment,13347,2.0,0,Wedding,Feb20,51.0,0,0,0,0,0,0,226.0
1,1,1290.0,1,1,64.0,1,apartment,10247,2.0,0,Friedrichshain,Feb20,1.0,0,0,0,0,0,0,170.0
0,1,3144.0,0,0,96.69,1,apartment,10405,4.0,0,Prenzlauer Berg,May19,114.0,0,0,0,0,0,0,243.0
0,1,819.0,0,0,52.0,1,apartment,10625,2.0,0,Charlottenburg,Sep18,120.0,0,0,0,0,0,0,170.0
0,0,1500.0,1,1,72.93,0,apartment,10179,3.0,0,Mitte,May19,51.0,0,0,0,0,0,0,180.0
0,1,682.65,0,1,44.05,1,apartment,12555,1.5,0,Köpenick,Feb20,24.0,0,0,0,0,0,0,113.64999999999998
0,1,890.0,1,1,67.6,0,apartment,12163,2.0,0,Steglitz,Feb20,110.0,0,0,0,0,0,0,190.0
0,1,725.0,0,0,67.05,1,apartment,12681,3.0,0,Marzahn,Oct19,42.0,0,0,0,0,0,0,224.0
1,1,2031.52,1,1,96.97,1,ground_floor,10557,3.0,0,Tiergarten,Feb20,1.0,0,0,0,0,0,0,291.52
0,1,1377.0,1,1,60.93,0,apartment,10115,2.0,0,Mitte,May19,19.0,0,0,0,0,0,0,220.0
0,1,3500.0,1,0,262.0,0,roof_storey,14195,7.0,1,Zehlendorf,Sep18,34.0,0,0,0,0,0,0,500.0
0,0,972.13,1,1,68.46,0,roof_storey,12555,2.0,1,Köpenick,May19,90.0,0,0,0,0,0,1,254.13
0,0,694.0,0,0,42.49,0,apartment,12049,1.5,0,Neukölln,Oct19,110.0,0,0,0,0,0,0,127.0
0,1,932.48,1,1,66.83,0,ground_floor,12349,2.0,1,Neukölln,Sep18,25.0,0,0,0,0,0,0,298.48
0,0,1207.0,1,0,73.7,0,apartment,12105,3.0,0,Tempelhof,May19,95.0,0,0,0,0,0,0,175.0
0,1,1775.0,0,1,89.44,1,roof_storey,10247,2.0,0,Friedrichshain,May19,120.0,0,0,0,0,0,0,340.0
0,1,1598.17,1,1,70.4,1,apartment,10115,2.0,0,Mitte,Sep18,4.0,0,0,0,0,0,0,205.17000000000007
0,1,783.87,1,0,68.64,0,ground_floor,13125,1.5,0,Weißensee,May19,22.0,0,0,0,0,0,0,197.87
0,1,909.27,0,1,77.88,0,apartment,12207,4.0,0,Steglitz,Feb20,63.0,0,0,0,0,0,0,192.27
0,0,1134.0,0,0,76.76,0,ground_floor,10437,3.0,0,Prenzlauer Berg,Oct19,100.0,0,0,0,0,0,0,164.0
0,1,1022.44,1,1,67.61,1,apartment,12527,2.0,1,Köpenick,Feb20,3.0,0,0,0,0,0,0,164.44000000000003
0,1,1962.0,1,1,106.92,1,penthouse,14199,2.0,0,Wilmersdorf,Sep18,12.0,0,0,0,0,0,0,303.0
0,1,2312.0,0,0,115.6,1,apartment,10115,4.0,0,Mitte,May19,7.0,0,0,0,0,0,0,347.0
